EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	00:50:07	0	0.0100	2.3176446273980456
2	01:02:01	0	0.0100	2.2042764226525824
3	01:13:54	0	0.0100	2.1455353080452264
4	01:25:56	0	0.0100	2.1024830404102866
5	01:37:44	0	0.0100	2.0781973333013983
6	01:49:29	0	0.0100	2.037525053817626
7	02:01:02	0	0.0100	2.017126212583671
8	02:12:22	0	0.0100	1.994908501198937
9	02:23:23	0	0.0100	1.9538901514151759
10	02:34:11	0	0.0100	1.9204100303877525
11	02:45:08	0	0.0100	1.9068464544958381
12	02:56:02	0	0.0100	1.8920799689194159
13	03:06:51	0	0.0100	1.8712241593558732
14	03:17:47	0	0.0100	1.8520077377003341
15	03:28:39	0	0.0100	1.8337110490621538
16	03:39:38	0	0.0100	1.7943036557080747
17	03:50:23	0	0.0100	1.769869194151268
18	04:01:16	1	0.0100	1.770274035426013
19	04:12:15	0	0.0100	1.7507768405366673
20	04:23:14	0	0.0100	1.7346361065881635
21	04:34:06	1	0.0100	1.748411143106425
22	04:44:45	0	0.0100	1.7159282025557814
23	04:55:35	0	0.0100	1.7120990230979398
24	05:06:26	0	0.0100	1.7059362765653965
25	05:17:10	1	0.0100	1.7074921334488595
26	05:28:02	0	0.0100	1.6739286152929036
27	05:38:45	0	0.0100	1.6701632105036341
28	05:49:37	0	0.0100	1.6695184557008593
29	06:00:27	0	0.0100	1.6597768757459614
30	06:11:17	1	0.0100	1.6768445543508104
31	06:22:07	0	0.0100	1.6415347082232459
32	06:33:15	0	0.0100	1.6400517503518144
33	06:44:01	0	0.0100	1.6283228650934949
34	06:54:58	1	0.0100	1.6297382469886894
35	07:05:45	0	0.0100	1.6201428058231953
36	07:16:30	0	0.0100	1.6073652343107299
37	07:27:36	0	0.0100	1.5971923351455213
38	07:38:39	0	0.0100	1.5875987169741748
39	07:49:45	1	0.0100	1.594916736339008
40	08:00:42	0	0.0100	1.5775980308374717
41	08:11:31	0	0.0100	1.5614860831917106
42	08:22:17	1	0.0100	1.5655034394296021
43	08:33:06	0	0.0100	1.5479191123665152
44	08:44:06	0	0.0100	1.5467751919072568
45	08:55:09	0	0.0100	1.542693941163866
46	09:06:07	1	0.0100	1.5452082698576992
47	09:16:57	0	0.0100	1.519075565733128
48	09:27:38	0	0.0100	1.5023288525962628
49	09:38:27	0	0.0100	1.4945440255536997
50	09:49:20	1	0.0100	1.5006749764707223
51	10:00:16	2	0.0100	1.5015690034630007
52	10:11:13	0	0.0100	1.4916705763854659
53	10:22:07	0	0.0100	1.4902345296498891
54	10:33:11	0	0.0100	1.471049130360425
55	10:44:21	1	0.0100	1.4791787851480234
56	10:55:23	0	0.0100	1.4585334145842874
57	11:06:18	0	0.0100	1.4470847910770244
58	11:17:14	1	0.0100	1.4607783150530649
59	11:28:09	0	0.0100	1.428357203661998
60	11:39:09	0	0.0100	1.4171360118969067
61	11:49:58	1	0.0100	1.4256021808264088
62	12:00:59	0	0.0100	1.4123930490908183
63	12:11:52	0	0.0100	1.4001670333953353
64	12:22:55	0	0.0100	1.3989213646901788
65	12:33:55	1	0.0100	1.3997370511366636
66	12:45:05	0	0.0100	1.3840017301988585
67	12:56:05	0	0.0100	1.3810117125050902
68	13:06:54	0	0.0100	1.3659044153943904
69	13:17:42	0	0.0100	1.3570050687779875
70	13:28:39	1	0.0100	1.3597865200076198
71	13:39:35	0	0.0100	1.3436454519885763
72	13:50:26	0	0.0100	1.340098118271565
73	14:01:19	1	0.0100	1.3430594962787192
74	14:12:05	0	0.0100	1.32433980270284
75	14:23:12	0	0.0100	1.3225315123451262
76	14:34:10	1	0.0100	1.3246362799299354
77	14:45:07	0	0.0100	1.3013455172344943
78	14:56:05	0	0.0100	1.2956496593867657
79	15:06:57	0	0.0100	1.285316429124794
80	15:17:54	1	0.0100	1.2999921325383668
81	15:28:56	0	0.0100	1.279443832563492
82	15:39:57	0	0.0100	1.2760649132452415
83	15:50:52	1	0.0100	1.279326071694007
84	16:01:44	0	0.0100	1.2699888576830258
85	16:12:45	0	0.0100	1.2632440611871765
86	16:23:46	0	0.0100	1.2594391677872512
87	16:34:41	1	0.0100	1.2618533898002435
88	16:45:48	2	0.0100	1.2607944852722532
89	16:56:49	0	0.0100	1.2331306635601222
90	17:07:52	0	0.0100	1.2230586610622012
91	17:18:54	0	0.0100	1.2199547420513759
92	17:29:58	0	0.0100	1.2089093590920832
93	17:40:47	1	0.0100	1.2197234882476582
94	17:51:31	0	0.0100	1.203869137106213
95	18:02:42	1	0.0100	1.20430580479256
96	18:13:52	0	0.0100	1.1876314611090155
97	18:24:52	0	0.0100	1.1853070203862135
98	18:35:52	0	0.0100	1.1773810716376634
99	18:46:52	1	0.0100	1.1864148411427768
100	18:57:41	0	0.0100	1.1715634962934158
101	19:08:41	0	0.0100	1.1673497353657876
102	19:19:33	0	0.0100	1.1536882600687228
103	19:30:28	1	0.0100	1.1702565628003556
104	19:41:25	2	0.0100	1.1555222310112752
105	19:52:16	0	0.0100	1.1486972207644814
106	20:03:18	0	0.0100	1.1408408617881274
107	20:14:22	0	0.0100	1.1301563302438775
108	20:25:17	0	0.0100	1.1241271473224141
109	20:36:08	1	0.0100	1.1352960285951315
110	20:47:22	0	0.0100	1.1112371506963792
111	20:58:27	1	0.0100	1.1119502359793956
112	21:09:37	0	0.0100	1.101529227511512
113	21:20:40	1	0.0100	1.1081871710228643
114	21:31:36	0	0.0100	1.09963947147518
115	21:42:35	0	0.0100	1.0898932058294852
116	21:53:27	1	0.0100	1.0924827291824057
117	22:04:24	0	0.0100	1.0870183915914506
118	22:15:27	1	0.0100	1.0930198818058163
119	22:26:22	0	0.0100	1.0732368490661643
120	22:37:29	1	0.0100	1.084203034545213
121	22:48:22	0	0.0100	1.0608691225222597
122	22:59:21	1	0.0100	1.0632933981170065
123	23:10:18	0	0.0100	1.0501074491362272
124	23:21:20	0	0.0100	1.0497033857972884
125	23:32:25	0	0.0100	1.044703906358188
126	23:43:33	0	0.0100	1.0445801221767865
127	23:54:38	1	0.0100	1.0505169794491693
128	00:05:38	0	0.0100	1.0320286052860517
129	00:16:48	1	0.0100	1.0370998288841153
130	00:28:28	0	0.0100	1.0273020808928555
131	00:40:39	0	0.0100	1.0263144070326382
132	00:52:31	0	0.0100	1.0118456482678055
133	01:04:13	1	0.0100	1.019640741117296
134	01:15:32	2	0.0100	1.0175062810885107
135	01:26:40	0	0.0100	1.003792753718367
136	01:37:52	0	0.0100	0.9779498664987175
137	01:49:09	1	0.0100	0.9920143436741184
138	02:00:25	2	0.0100	0.9906209207242227
139	02:11:36	3	0.0100	0.9906857170193352
140	02:22:37	4	0.0100	0.9815081385153559
