Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,50,0.2,1.5,0.5647056841108995
100% Corpus,50,0.5,0.15,0.4960750989153952
100% Corpus,50,0.5,0.2,0.4991216977846738
100% Corpus,50,0.5,0.5,0.6021376154188204
100% Corpus,50,0.5,0.7,0.6645911054086158
100% Corpus,50,0.5,0.9,0.6664048185249417
100% Corpus,50,0.5,1.5,0.6011912936325905
100% Corpus,50,0.6,0.15,0.5221313149834909
100% Corpus,50,0.6,0.2,0.5520358318236117
100% Corpus,50,0.6,0.5,0.6796677471213768
100% Corpus,50,0.6,0.7,0.6996727078070897
100% Corpus,50,0.6,0.9,0.6473001846833086
100% Corpus,50,0.6,1.5,0.5451110201355582
100% Corpus,50,0.7,0.15,0.5184406757001111
100% Corpus,50,0.7,0.2,0.5112907775215899
100% Corpus,50,0.7,0.5,0.7148522597579279
100% Corpus,50,0.7,0.7,0.622508958063909
100% Corpus,50,0.7,0.9,0.6162113928854086
100% Corpus,50,0.7,1.5,0.4916976088638341
100% Corpus,50,0.9,0.15,0.4741506824699277
100% Corpus,50,0.9,0.2,0.4927216916152859
100% Corpus,50,0.9,0.5,0.6400317462715305
100% Corpus,50,0.9,0.7,0.4694452265974205
100% Corpus,50,0.9,0.9,0.5362429202576663
100% Corpus,50,0.9,1.5,0.5181439316066487
100% Corpus,50,1.5,0.15,0.43863290225407264
100% Corpus,50,1.5,0.2,0.4335010055469206
100% Corpus,50,1.5,0.5,0.40879682055104277
100% Corpus,50,1.5,0.7,0.34590126026831586
100% Corpus,50,1.5,0.9,0.35770938226299265
100% Corpus,50,1.5,1.5,0.3128576089070405
100% Corpus,50,1.75,0.15,0.4318452984814044
100% Corpus,50,1.75,0.2,0.4332838074045046
100% Corpus,50,1.75,0.5,0.459348929613697
100% Corpus,50,1.75,0.7,0.43751012840288994
100% Corpus,50,1.75,0.9,0.3847393558901886
100% Corpus,50,1.75,1.5,0.2961845217953873
100% Corpus,60,0.15,0.15,0.4614593433998668
100% Corpus,60,0.15,0.2,0.4626561267339669
100% Corpus,60,0.15,0.5,0.5564514166359996
100% Corpus,60,0.15,0.7,0.5637146036620592
100% Corpus,60,0.15,0.9,0.5930789269504498
100% Corpus,60,0.15,1.5,0.6162310046535553
100% Corpus,60,0.2,0.15,0.4570945681401241
100% Corpus,60,0.2,0.2,0.4576805919800925
100% Corpus,60,0.2,0.5,0.5258296912378811
100% Corpus,60,0.2,0.7,0.5190543876172566
100% Corpus,60,0.2,0.9,0.5632166957475964
100% Corpus,60,0.2,1.5,0.5687848576476358
100% Corpus,60,0.5,0.15,0.526798047742652
100% Corpus,60,0.5,0.2,0.5731251217283578
100% Corpus,60,0.5,0.5,0.6868973819889196
100% Corpus,60,0.5,0.7,0.6698471326818786
100% Corpus,60,0.5,0.9,0.697756329506125
100% Corpus,60,0.5,1.5,0.5831115555197554
100% Corpus,60,0.6,0.15,0.5403892909929755
100% Corpus,60,0.6,0.2,0.5512867976541398
100% Corpus,60,0.6,0.5,0.7080685716870392
100% Corpus,60,0.6,0.7,0.6570906030044823
100% Corpus,60,0.6,0.9,0.5882942854670902
100% Corpus,60,0.6,1.5,0.5648838655816032
100% Corpus,60,0.7,0.15,0.5121463510909607
100% Corpus,60,0.7,0.2,0.5334275370011394
100% Corpus,60,0.7,0.5,0.7115448183111496
100% Corpus,60,0.7,0.7,0.6425801102494738
100% Corpus,60,0.7,0.9,0.5615234580029537
100% Corpus,60,0.7,1.5,0.5146291210767064
100% Corpus,60,0.9,0.15,0.4767733180075809
100% Corpus,60,0.9,0.2,0.4866359340714149
100% Corpus,60,0.9,0.5,0.5421578837593033
100% Corpus,60,0.9,0.7,0.429655463033117
100% Corpus,60,0.9,0.9,0.45784353180586534
100% Corpus,60,0.9,1.5,0.5181941226780826
100% Corpus,60,1.5,0.15,0.4438223602765406
100% Corpus,60,1.5,0.2,0.4459702503097419
100% Corpus,60,1.5,0.5,0.4279832067869523
100% Corpus,60,1.5,0.7,0.3768999756296338
100% Corpus,60,1.5,0.9,0.3518242450308359
100% Corpus,60,1.5,1.5,0.3019498093716704
100% Corpus,60,1.75,0.15,0.44853617331182055
100% Corpus,60,1.75,0.2,0.437685994670826
100% Corpus,60,1.75,0.5,0.49534525614976876
100% Corpus,60,1.75,0.7,0.473138532292917
100% Corpus,60,1.75,0.9,0.41528053255638875
100% Corpus,60,1.75,1.5,0.2995750199774839
100% Corpus,70,0.15,0.15,0.488237542726164
100% Corpus,70,0.15,0.2,0.4748990111660621
100% Corpus,70,0.15,0.5,0.5442748724597647
100% Corpus,70,0.15,0.7,0.6319903586905367
100% Corpus,70,0.15,0.9,0.5877142734703737
100% Corpus,70,0.15,1.5,0.5911277563939987
100% Corpus,70,0.2,0.15,0.50049525420821
100% Corpus,70,0.2,0.2,0.4853858720057968
100% Corpus,70,0.2,0.5,0.5073227351136325
100% Corpus,70,0.2,0.7,0.566129469683897
100% Corpus,70,0.2,0.9,0.5634983026350037
100% Corpus,70,0.2,1.5,0.597118196516126
100% Corpus,70,0.5,0.15,0.525062202774738
100% Corpus,70,0.5,0.2,0.5847718999305153
100% Corpus,70,0.5,0.5,0.6890398214065506
100% Corpus,70,0.5,0.7,0.6913794124041915
100% Corpus,70,0.5,0.9,0.6644247696847257
100% Corpus,70,0.5,1.5,0.5824344541243223
100% Corpus,70,0.6,0.15,0.5318285254152779
100% Corpus,70,0.6,0.2,0.5658679870202933
100% Corpus,70,0.6,0.5,0.6913530800207167
100% Corpus,70,0.6,0.7,0.6548900349311392
100% Corpus,70,0.6,0.9,0.5081472286152618
100% Corpus,70,0.6,1.5,0.48095467714719675
100% Corpus,70,0.7,0.15,0.4865274392346662
100% Corpus,70,0.7,0.2,0.5177286762075801
100% Corpus,70,0.7,0.5,0.7082155587323844
100% Corpus,70,0.7,0.7,0.4761417544277009
100% Corpus,70,0.7,0.9,0.5167773738506074
100% Corpus,70,0.7,1.5,0.5092745968195381
100% Corpus,70,0.9,0.15,0.49111573951218546
