EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
116	16:57:43	1	0.0100	1.1031843830134083
117	17:08:45	2	0.0100	1.0983477325010986
118	17:19:46	3	0.0100	1.0976161849670303
119	17:30:55	4	0.0100	1.1003762342587569
120	17:42:28	0	0.0050	1.0446791222071221
121	17:53:56	1	0.0050	1.0508825952189143
122	18:05:06	2	0.0050	1.0472802570218493
123	18:16:24	0	0.0050	1.0394727078267423
124	18:27:45	0	0.0050	1.0335710852888436
125	18:38:57	1	0.0050	1.0467671240032996
